0.0002 	WARNING 	warning
46.7268 	EXP 	stimulus_image: autoDraw = False
46.7268 	EXP 	fixation_cross: autoDraw = True
52.2281 	EXP 	fixation_cross: autoDraw = False
55.2754 	EXP 	Created stimulus_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=False, mask=None, maskParams=None, name='stimulus_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), texRes=128, units='deg', win=Window(...))
55.2791 	EXP 	fixation_cross: autoDraw = True
58.2955 	EXP 	fixation_cross: autoDraw = False
58.2955 	EXP 	stimulus_image: autoDraw = True
59.7998 	EXP 	stimulus_image: autoDraw = False
59.7998 	EXP 	fixation_cross: autoDraw = True
65.3086 	EXP 	fixation_cross: autoDraw = False
68.3332 	EXP 	Created stimulus_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=False, mask=None, maskParams=None, name='stimulus_image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), texRes=128, units='deg', win=Window(...))
68.3363 	EXP 	fixation_cross: autoDraw = True
71.3612 	EXP 	fixation_cross: autoDraw = False
71.3612 	EXP 	stimulus_image: autoDraw = True
72.8711 	EXP 	stimulus_image: autoDraw = False
72.8711 	EXP 	fixation_cross: autoDraw = True
78.3566 	EXP 	fixation_cross: autoDraw = False
81.3646 	EXP 	end_stimulus: autoDraw = True
82.8587 	DATA 	Keypress: space
83.3684 	EXP 	window1: mouseVisible = True
